epoch,train_loss,val_loss
1,0.009590103198755508,0.00028192240813266177
2,0.00019146618476921637,0.00018396586596873093
3,0.00016008309190355667,0.00014717872366801622
4,0.00017035356759339675,0.00013187316773730166
5,0.00011524625653268899,0.0001341260362305703
6,0.00011355947588184286,0.00012610056420804826
7,0.00015545245265833195,0.0001110756373909935
8,9.564737794125856e-05,0.00011291983883634563
9,0.0001209932556063914,0.00015409139946264593
10,7.716646302387712e-05,0.00010052041464208584
11,0.00011184435255269736,0.00010531814350231665
12,8.383149550100046e-05,0.0002088505173377942
13,0.00010070906601782455,0.0001006955599322159
14,6.487729475688991e-05,8.541750180293135e-05
15,9.428224066603451e-05,0.0001110216314541567
16,7.606531301048777e-05,9.460189245050283e-05
17,7.271561767014794e-05,8.329077533078358e-05
18,6.724284955982077e-05,9.406097700857756e-05
19,6.432922777633871e-05,0.00011969422723740936
20,6.985981105693843e-05,7.500325339197429e-05
21,5.8557350193237224e-05,7.390992837348985e-05
22,5.360026247323505e-05,0.0001687642203989362
23,5.576333469459757e-05,0.00040847936713587184
24,7.055977318445778e-05,7.985122551186326e-05
25,5.454065624430322e-05,7.262467187619297e-05
26,5.068655768669354e-05,6.649791209453001e-05
27,6.324950436447774e-05,9.739271696065994e-05
28,4.175062323877679e-05,6.302752866826859e-05
29,5.1920141879953435e-05,7.336531543248212e-05
30,5.085774417676913e-05,6.40950515568633e-05
31,5.0864430955445896e-05,6.26134737001871e-05
32,4.68102841815238e-05,6.533258546684748e-05
33,6.517562765125805e-05,6.635480573126382e-05
34,3.674832527645002e-05,5.6366833045638366e-05
35,4.487343744365945e-05,7.261368796384341e-05
36,4.103934490106166e-05,0.00010591180554068247
37,4.610059091651294e-05,6.6810910280216e-05
38,4.229343521170977e-05,9.388877568631773e-05
39,3.807036108809183e-05,0.00011095390464544939
40,3.8627061390293275e-05,5.4701495764745923e-05
41,3.8361925031641015e-05,0.00015212467349366853
42,3.883686325807029e-05,6.262367027018706e-05
43,4.6223627298403205e-05,6.578272143348075e-05
44,3.8609002065194135e-05,6.17616394235793e-05
45,3.944264547433056e-05,5.670816451184376e-05
46,3.668604513325693e-05,5.5527814559299574e-05
47,3.737449107951337e-05,5.378275165744604e-05
48,4.102739437535155e-05,5.21320833068328e-05
49,3.412105922436085e-05,6.0476568400965565e-05
50,3.2549311971225684e-05,0.0001987069835694446
