epoch,train_loss,val_loss
1,0.0030589614918521114,0.0003149314062732192
2,0.00019934552712498808,0.00017004717869961022
3,0.0001643297842006635,0.0003692710893027222
4,0.0001300103540572138,0.00010767481846634545
5,0.00012773260007449894,0.0003678149227188743
6,0.00020331847424550145,7.259642289834852e-05
7,9.43625800432864e-05,6.283615415697785e-05
8,8.903830278810932e-05,0.0001696637482061719
9,8.544390617311939e-05,5.259271328032702e-05
10,9.176661582833981e-05,5.257228526865307e-05
11,6.524709406900283e-05,4.10116697742123e-05
12,6.237861245740501e-05,5.2386401414652884e-05
13,5.445035072830709e-05,5.0887588403800024e-05
14,4.244189807914093e-05,3.6039172927699136e-05
15,6.570113430589972e-05,4.189283260243982e-05
16,9.074087729876792e-05,3.4160019237322975e-05
17,2.9361095953091663e-05,4.305912535979586e-05
18,3.590959109187801e-05,0.00015410186691546595
19,4.152609909190828e-05,0.00011119751437598306
20,4.967942473677068e-05,3.8769049851113554e-05
21,2.79800389973828e-05,4.7964456644241656e-05
22,3.738033024054302e-05,5.6514424604886375e-05
23,3.0685033843850237e-05,2.493386209060301e-05
24,3.3518760409856596e-05,3.6776423271439845e-05
25,3.176129239571481e-05,0.0001943039325586344
26,3.055430050734618e-05,2.1252839341822864e-05
27,3.2546453662878825e-05,2.494529620356957e-05
28,2.828095624668308e-05,2.4535405809777646e-05
29,2.5845592796312052e-05,3.085650715300549e-05
30,2.3067127007111318e-05,2.3508920224432238e-05
31,3.248062317537757e-05,2.1104187454393255e-05
32,2.528067079299261e-05,4.8680046228014616e-05
33,2.204990237312557e-05,4.284774831762316e-05
34,2.7470810178344236e-05,4.675332833492765e-05
35,2.5470818146038176e-05,0.00012305682285957317
36,2.462743300336707e-05,3.622559710255553e-05
37,2.242382859241611e-05,4.123991530226695e-05
38,3.0633069151484495e-05,2.7354412441058793e-05
39,1.7344168922160722e-05,3.263775126792251e-05
