epoch,train_loss,val_loss
1,0.012896390569692653,0.0002560074232500018
2,0.0005281011455700829,0.00014508895968503885
3,0.00020175320124508997,0.0001367482366267513
4,0.000406545279354478,0.0001582031805140867
5,0.0001381879316840541,0.00019644658022210959
6,0.00016226249956101938,9.006730948060888e-05
7,0.00016158493249877987,8.360514387773148e-05
8,0.000150143091843872,9.116343446500658e-05
9,0.00015906232088832165,7.613336460513627e-05
10,8.318139207048775e-05,8.354466838482521e-05
11,0.0001365077856445484,8.654258282644387e-05
12,9.81988225590602e-05,8.011383797385727e-05
13,9.818153235649381e-05,5.5474005269659246e-05
14,0.0001378230148674772,4.8921417651817896e-05
15,8.27478171724655e-05,8.28060939187396e-05
16,7.42943380595596e-05,4.758260717325939e-05
17,8.522680182006603e-05,7.827371800547004e-05
18,7.421280594518231e-05,3.983198950592097e-05
19,8.659292904746343e-05,3.901790331979753e-05
20,7.172460068952356e-05,0.0002051315754730252
21,5.190794070587061e-05,5.7105945788738894e-05
22,8.614789030390738e-05,3.680451177428179e-05
23,0.00010523463736582851,0.00039282422015816937
24,8.644626309716452e-05,3.4507973211579095e-05
25,3.48457724336576e-05,3.188138866463665e-05
26,7.432344233942056e-05,3.2752007105293575e-05
27,3.340954272248633e-05,4.282969310069338e-05
28,4.7849821405004793e-05,3.2692681905556664e-05
29,6.334661918429304e-05,4.798456323228905e-05
30,4.371448471229552e-05,3.140965786688519e-05
31,5.917477074316229e-05,0.0003616708448052811
32,3.6668563126214776e-05,3.3036245113862164e-05
33,3.927219418577281e-05,2.795941538748525e-05
34,4.547467673911214e-05,2.3035599544932247e-05
35,3.755161463407167e-05,3.188565058305777e-05
36,4.792231361423692e-05,2.474317016997604e-05
37,2.917445220564044e-05,3.5289200123956076e-05
38,5.8387846331873996e-05,2.3470830887597648e-05
39,2.8136413018242246e-05,2.667513772035689e-05
40,4.146120433173944e-05,2.0538451248510003e-05
41,4.392232466128888e-05,2.2850614339007803e-05
42,2.213025620656427e-05,2.3423829623536135e-05
43,3.442908014378309e-05,4.1500683494532835e-05
44,3.312152921109871e-05,3.485405637054717e-05
45,3.535871511494975e-05,2.3672036350728776e-05
46,3.7908957359232455e-05,6.826114116046186e-05
47,6.204719449766156e-05,2.4900198302102802e-05
48,2.1268926851533186e-05,2.7987704222540882e-05
