method,image_count,positive_count,negative_count,overall_auroc,overall_ap,macro_auroc,macro_ap,category_count,evaluated_category_count
autoencoder,1197,948,249,0.5836807144188569,0.822672351525989,0.5812184179545774,0.8402225451414518,10,10
classical,1197,948,249,0.5516750546489756,0.8292849486410854,0.54148950509432,0.8307154177996336,10,10
