method,image_count,positive_count,negative_count,overall_auroc,overall_ap,macro_auroc,macro_ap,category_count,evaluated_category_count
autoencoder,110,88,22,0.659607438016529,0.9052066053785295,0.659607438016529,0.9052066053785295,1,1
classical,110,88,22,0.4597107438016529,0.8122901071895821,0.4597107438016529,0.8122901071895821,1,1
